emailStatus,email,fullName,firstName,lastName,linkedinUrl,companyName,companyWebsite,icebreaker,country,location,industry,companyWebsite,companyProfileUrl,civility,Role,CNAE,DownloadCount
deliverable,antonio.johnson@mason.com,Antonio Johnson,Antonio,Johnson,https://www.linkedin.com/in/antonio-johnson,Carr, Stewart and Bowen,harper.com,,,Phillipstown,Entertainment,http://harper.com,https://www.linkedin.com/company/carr,-stewart-and-bowen,Mr,Director,9859.0,27
deliverable,sarah.smith@hughes-butler.com,Sarah Smith,Sarah,Smith,https://www.linkedin.com/in/sarah-smith,Maddox-Benson,lowery.net,,Myanmar,Christinaton,Finance,http://lowery.net,https://www.linkedin.com/company/maddox-benson,Mrs,Director,2245.0,27
undeliverable,matthew.martin@kerr.com,Matthew Martin,Matthew,Martin,https://www.linkedin.com/in/matthew-martin,Gordon Group,jones-patterson.org,,Palau,North Dennisfort,Finance,http://jones-patterson.org,https://www.linkedin.com/company/gordon-group,Mrs,Director,5679.0,27
undeliverable,sergio.villa@deleon.com,Sergio Villa,Sergio,Villa,https://www.linkedin.com/in/sergio-villa,Hogan and Sons,reynolds.com,,Barbados,North Zachary,Technology,http://reynolds.com,https://www.linkedin.com/company/hogan-and-sons,Mrs,Director,4434.0,27
deliverable,larry.scott@terrell-myers.com,Larry Scott,Larry,Scott,https://www.linkedin.com/in/larry-scott,Newman and Sons,wang-fitzgerald.com,,Korea,Smithton,Finance,http://wang-fitzgerald.com,https://www.linkedin.com/company/newman-and-sons,Mr,Director,2560.0,27
deliverable,nicole.oliver@clark-haynes.com,Nicole Oliver,Nicole,Oliver,https://www.linkedin.com/in/nicole-oliver,Green PLC,allen.com,,Iceland,West Heather,Technology,http://allen.com,https://www.linkedin.com/company/green-plc,Mrs,Director,4583.0,27
deliverable,tim.mays@johnson-hansen.com,Tim Mays,Tim,Mays,https://www.linkedin.com/in/tim-mays,Owens-Garcia,gonzalez.com,,Guam,Brownburgh,Healthcare,http://gonzalez.com,https://www.linkedin.com/company/owens-garcia,Mrs,Director,2821.0,27
deliverable,lisa.miller@banks-yates.com,Lisa Miller,Lisa,Miller,https://www.linkedin.com/in/lisa-miller,Myers, Rodriguez and Morris,watson-jackson.com,,Estonia,Douglaschester,Technology,http://watson-jackson.com,https://www.linkedin.com/company/myers,-rodriguez-and-morris,Mrs,Director,3007.0,27
undeliverable,natasha.aguilar@parker-craig.org,Natasha Aguilar,Natasha,Aguilar,https://www.linkedin.com/in/natasha-aguilar,Spencer, Miller and Suarez,morrison.com,,Azerbaijan,South Kenneth,Manufacturing,http://morrison.com,https://www.linkedin.com/company/spencer,-miller-and-suarez,Mr,Director,5761.0,24
undeliverable,michael.simmons@davis-anderson.org,Michael Simmons,Michael,Simmons,https://www.linkedin.com/in/michael-simmons,Oliver-Bray,bradley.com,,Latvia,Joneston,Healthcare,http://bradley.com,https://www.linkedin.com/company/oliver-bray,Mr,Director,3115.0,24
